epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
143,9266.32,0.36988,0.33107,0.89034,0.97985,0.95569,0.95138,0.90724,0.33721,0.2838,0.81198,0.000590385,0.000590385,0.000590385
144,9325.34,0.36827,0.33725,0.8922,0.98014,0.95569,0.95339,0.90586,0.32929,0.27232,0.80725,0.000586719,0.000586719,0.000586719
145,9390.56,0.37276,0.33486,0.89186,0.98058,0.95569,0.95268,0.90727,0.33772,0.28629,0.80324,0.000583053,0.000583053,0.000583053
146,9450.38,0.37488,0.33243,0.89253,0.98019,0.95569,0.95206,0.91233,0.33222,0.29439,0.80043,0.000579386,0.000579386,0.000579386
147,9523.85,0.37518,0.33983,0.90379,0.98016,0.95657,0.95305,0.9016,0.31829,0.29933,0.79784,0.00057572,0.00057572,0.00057572
148,9584.25,0.37408,0.32975,0.90763,0.97933,0.95569,0.95193,0.90025,0.3075,0.2785,0.80059,0.000572054,0.000572054,0.000572054
149,9651.99,0.37546,0.34226,0.89534,0.97903,0.95569,0.95355,0.90626,0.31298,0.2819,0.80905,0.000568388,0.000568388,0.000568388
150,9710.09,0.34246,0.31016,0.87643,0.98092,0.95569,0.95505,0.90643,0.32962,0.29887,0.81623,0.000564721,0.000564721,0.000564721
151,9778.18,0.36041,0.31601,0.89193,0.98154,0.95569,0.95662,0.90521,0.32964,0.2959,0.81841,0.000561055,0.000561055,0.000561055
152,9847.49,0.35572,0.32213,0.88284,0.98018,0.95606,0.95565,0.89713,0.33025,0.29264,0.81247,0.000557389,0.000557389,0.000557389
153,9913.22,0.36281,0.31261,0.88888,0.97835,0.95404,0.95193,0.90463,0.30476,0.26886,0.80192,0.000553722,0.000553722,0.000553722
154,9979.07,0.3722,0.32923,0.90276,0.97813,0.95569,0.95191,0.91042,0.30797,0.27162,0.80499,0.000550056,0.000550056,0.000550056
155,10048.6,0.3479,0.31443,0.88871,0.97781,0.95569,0.95159,0.91118,0.30718,0.27335,0.80517,0.00054639,0.00054639,0.00054639
156,10109.3,0.36664,0.32146,0.89171,0.97863,0.95569,0.95498,0.90945,0.30702,0.26453,0.80762,0.000542723,0.000542723,0.000542723
157,10177.1,0.35788,0.32026,0.8937,0.97726,0.95569,0.9557,0.90877,0.32121,0.28177,0.81039,0.000539057,0.000539057,0.000539057
158,10239.1,0.36201,0.33618,0.89478,0.97564,0.95569,0.95532,0.90913,0.32159,0.31002,0.81196,0.000535391,0.000535391,0.000535391
159,10307,0.36824,0.32686,0.89272,0.97517,0.95569,0.95407,0.9129,0.31559,0.32321,0.81025,0.000531725,0.000531725,0.000531725
160,10368.4,0.34972,0.31584,0.89231,0.9767,0.95569,0.95448,0.91105,0.30228,0.33954,0.79998,0.000528058,0.000528058,0.000528058
161,10433.3,0.34187,0.30266,0.8925,0.9797,0.95619,0.9529,0.90999,0.30126,0.27161,0.80818,0.000524392,0.000524392,0.000524392
162,10493.5,0.35234,0.31852,0.88578,0.98187,0.95612,0.95341,0.91159,0.30245,0.26923,0.80947,0.000520726,0.000520726,0.000520726
163,10573.9,0.34285,0.30773,0.88861,0.9814,0.95604,0.954,0.9075,0.30518,0.26945,0.80569,0.000517059,0.000517059,0.000517059
164,10640.3,0.34314,0.30284,0.8798,0.97974,0.95569,0.95332,0.91204,0.31029,0.27712,0.8107,0.000513393,0.000513393,0.000513393
165,10707.5,0.33973,0.30592,0.88824,0.97801,0.95569,0.95376,0.90696,0.30363,0.27764,0.80374,0.000509727,0.000509727,0.000509727
166,10768.3,0.35322,0.31735,0.88468,0.97636,0.95569,0.95467,0.91012,0.31179,0.27182,0.81006,0.00050606,0.00050606,0.00050606
167,10836.4,0.34853,0.30831,0.88512,0.98072,0.95604,0.95581,0.9127,0.30645,0.26438,0.80364,0.000502394,0.000502394,0.000502394
168,10904.5,0.34687,0.30202,0.89373,0.98138,0.95569,0.95417,0.91476,0.29638,0.26671,0.81167,0.000498728,0.000498728,0.000498728
169,10971.8,0.33867,0.30969,0.88613,0.98078,0.95569,0.95321,0.91344,0.31875,0.28177,0.81304,0.000495062,0.000495062,0.000495062
170,11036.1,0.34781,0.30934,0.88519,0.98022,0.95569,0.95293,0.90924,0.31175,0.28068,0.80376,0.000491395,0.000491395,0.000491395
171,11103.5,0.34179,0.30338,0.8921,0.97897,0.9506,0.95361,0.91106,0.30293,0.28014,0.80302,0.000487729,0.000487729,0.000487729
172,11162.8,0.35354,0.31383,0.89634,0.98111,0.95569,0.9524,0.90954,0.31217,0.28527,0.81076,0.000484063,0.000484063,0.000484063
173,11228.8,0.34528,0.30773,0.88698,0.97871,0.95421,0.94948,0.91228,0.3039,0.27742,0.80072,0.000480396,0.000480396,0.000480396
174,11299.2,0.33217,0.29199,0.88278,0.97814,0.95541,0.95031,0.91112,0.28454,0.26215,0.79277,0.00047673,0.00047673,0.00047673
175,11375.2,0.34148,0.3049,0.89052,0.98057,0.95569,0.95353,0.91204,0.29675,0.26013,0.79937,0.000473064,0.000473064,0.000473064
176,11439.1,0.34945,0.30234,0.89119,0.98125,0.95569,0.95284,0.9027,0.30492,0.25982,0.80176,0.000469397,0.000469397,0.000469397
